Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Train/Epoch,Train/Entropy,Train/KL,Train/StopIter,Train/PolicyRatio,Train/PolicyRatio/Min,Train/PolicyRatio/Max,Train/PolicyRatio/Std,Train/LR,Train/PolicyStd,TotalEnvSteps,Loss/Loss_pi,Loss/Loss_pi/Delta,Value/Adv,Loss/Loss_reward_critic,Loss/Loss_reward_critic/Delta,Value/reward,Time/Total,Time/Rollout,Time/Update,Time/Epoch,Time/FPS
-1.7766077518463135,18.649999618530273,1000.0,0.0,1.4127060174942017,0.012020965106785297,40.0,0.9985643029212952,0.9985643029212952,0.9985643029212952,0.017661169171333313,0.0002899999963119626,0.993826150894165,20000.0,-0.013864635489881039,-0.013864635489881039,0.26220324635505676,0.003063454292714596,0.003063454292714596,0.020459778606891632,184.372314453125,57.66962814331055,126.7016830444336,184.37130737304688,108.47674560546875
-1.2862468957901,30.375,1000.0,1.0,1.4115662574768066,0.020506350323557854,23.0,0.9987418055534363,0.998741865158081,0.998741865158081,0.020109543576836586,0.0002800000074785203,0.9927639365196228,40000.0,-0.01755755953490734,-0.0036929240450263023,-0.045262470841407776,0.0018023422453552485,-0.0012611120473593473,0.0013858256861567497,330.4384765625,69.93635559082031,76.088134765625,146.0244903564453,136.96331787109375
-0.6609394550323486,53.36000061035156,1000.0,2.0,1.4042820930480957,0.02126881666481495,28.0,0.9983546137809753,0.9983546137809753,0.9983546137809753,0.021102389320731163,0.0002699999895412475,0.9854939579963684,60000.0,-0.019789595156908035,-0.0022320356220006943,-0.14478451013565063,0.002221608767285943,0.0004192665219306946,0.00876801460981369,485.0842590332031,67.29480743408203,87.31765747070312,154.61245727539062,129.35568237304688
0.3070422112941742,85.81999969482422,1000.0,3.0,1.3803155422210693,0.0203976072371006,25.0,0.9974096417427063,0.9974097013473511,0.9974097013473511,0.020832393318414688,0.00026000000070780516,0.9621613621711731,80000.0,-0.014453628100454807,0.005335967056453228,0.037064485251903534,0.006434319540858269,0.004212710773572326,0.012539234012365341,628.16650390625,65.66001892089844,77.37248992919922,143.0325164794922,139.82835388183594
1.013962745666504,112.68000030517578,1000.0,4.0,1.3562285900115967,0.02146642468869686,21.0,0.9969658851623535,0.9969658851623535,0.9969658851623535,0.019998839125037193,0.0002500000118743628,0.9392444491386414,100000.0,-0.014097275212407112,0.00035635288804769516,0.08110499382019043,0.005566733423620462,-0.0008675861172378063,0.02855263650417328,759.6041259765625,64.88316345214844,66.52079772949219,131.40396118164062,152.20240783691406
1.4709417819976807,113.95999908447266,1000.0,5.0,1.3268694877624512,0.020750192925333977,30.0,0.9963459372520447,0.9963459372520447,0.9963459372520447,0.020096799358725548,0.00023999999393709004,0.9120858907699585,120000.0,-0.017622845247387886,-0.003525570034980774,0.05292336642742157,0.006060765124857426,0.0004940317012369633,0.06510642170906067,914.8580932617188,60.962310791015625,94.25171661376953,155.21401977539062,128.85433959960938
2.0042896270751953,136.02000427246094,1000.0,6.0,1.296008586883545,0.020786842331290245,28.0,0.9976761341094971,0.9976761341094971,0.9976761341094971,0.020116565749049187,0.0002300000051036477,0.8844611644744873,140000.0,-0.01692187786102295,0.0007009673863649368,-0.22811762988567352,0.010891341604292393,0.004830576479434967,0.13428190350532532,1057.1968994140625,57.700592041015625,84.6008529663086,142.30145263671875,140.5467071533203
2.411773920059204,119.0999984741211,1000.0,7.0,1.2686429023742676,0.020450768992304802,23.0,0.9963502287864685,0.9963502287864685,0.9963502287864685,0.020000919699668884,0.00022000000171829015,0.8605777025222778,160000.0,-0.017354363575577736,-0.0004324857145547867,-0.09177187085151672,0.010835236869752407,-5.610473453998566e-05,0.11875703185796738,1188.7481689453125,59.5106315612793,72.00814056396484,131.51876831054688,152.06954956054688
2.918105125427246,96.72000122070312,1000.0,8.0,1.2506040334701538,0.020213263109326363,24.0,0.9970829486846924,0.9970828890800476,0.9970828890800476,0.021026143804192543,0.0002099999983329326,0.8451019525527954,180000.0,-0.023090653121471405,-0.005736289545893669,0.06808017194271088,0.011563558131456375,0.000728321261703968,0.20662187039852142,1323.66552734375,59.361568450927734,75.52183532714844,134.88340759277344,148.2761993408203
3.965579032897949,98.66000366210938,1000.0,9.0,1.2239017486572266,0.020408479496836662,20.0,0.9977239370346069,0.9977239370346069,0.9977239370346069,0.019634254276752472,0.00019999999494757503,0.8228270411491394,200000.0,-0.02049410343170166,0.002596549689769745,-0.16595016419887543,0.017779726535081863,0.006216168403625488,0.3146769106388092,1448.01318359375,59.34500503540039,64.9706802368164,124.31568908691406,160.8807373046875
4.903529644012451,103.80000305175781,1000.0,10.0,1.1989037990570068,0.02016419917345047,25.0,0.9962814450263977,0.9962815046310425,0.9962815046310425,0.020281709730625153,0.0001900000061141327,0.802514374256134,220000.0,-0.022905198857188225,-0.0024110954254865646,-0.36274442076683044,0.018011096864938736,0.00023137032985687256,0.28710564970970154,1587.2701416015625,58.668113708496094,80.55528259277344,139.22438049316406,143.6529998779297
5.728196620941162,111.86000061035156,1000.0,11.0,1.1729035377502441,0.020045047625899315,18.0,0.9989343285560608,0.9989343285560608,0.9989343285560608,0.020171325653791428,0.00018000000272877514,0.7819282412528992,240000.0,-0.022009076550602913,0.0008961223065853119,-0.1261533945798874,0.021486083045601845,0.003474986180663109,0.4532966911792755,1707.1318359375,62.53150177001953,57.29310989379883,119.8246078491211,166.91061401367188
