Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Train/Epoch,Train/Entropy,Train/KL,Train/StopIter,Train/PolicyRatio,Train/PolicyRatio/Min,Train/PolicyRatio/Max,Train/PolicyRatio/Std,Train/LR,Train/PolicyStd,TotalEnvSteps,Loss/Loss_pi,Loss/Loss_pi/Delta,Value/Adv,Loss/Loss_reward_critic,Loss/Loss_reward_critic/Delta,Value/reward,Loss/Loss_cost_critic,Loss/Loss_cost_critic/Delta,Value/cost,Time/Total,Time/Rollout,Time/Update,Time/Epoch,Time/FPS,Metrics/LagrangeMultiplier,Metrics/LagrangeMultiplier/Min,Metrics/LagrangeMultiplier/Max,Metrics/LagrangeMultiplier/Std
-1.018218755722046,28.600000381469727,1000.0,0.0,1.4111543893814087,0.01246094424277544,40.0,0.9998758435249329,0.9998757839202881,0.9998757839202881,0.018331140279769897,0.00029850000282749534,0.9922517538070679,20000.0,-0.014233764261007309,-0.014233764261007309,-0.11220100522041321,0.00292960531078279,0.00292960531078279,0.024531420320272446,0.6139835119247437,0.6139835119247437,0.07287106662988663,214.2175750732422,41.856231689453125,172.35935974121094,214.21656799316406,93.36345672607422,0.035999998450279236,0.035999998450279236,0.035999998450279236,0.0
-0.8819511532783508,23.225000381469727,1000.0,1.0,1.4077781438827515,0.015237078070640564,40.0,0.9988719820976257,0.998871922492981,0.998871922492981,0.01981997676193714,0.0002969999914057553,0.98890620470047,40000.0,-0.018829701468348503,-0.004595937207341194,0.255303293466568,0.0018323776312172413,-0.001097227679565549,0.01630873791873455,0.5244736075401306,-0.08950990438461304,0.43722543120384216,422.7643737792969,39.533958435058594,168.9757843017578,208.51068115234375,95.91834259033203,0.04550992697477341,0.04550992697477341,0.04550992697477341,0.0
-0.6013802289962769,23.239999771118164,1000.0,2.0,1.4003275632858276,0.020319465547800064,19.0,0.9995807409286499,0.9995807409286499,0.9995807409286499,0.020838551223278046,0.0002955000090878457,0.9816446900367737,60000.0,-0.0191628560423851,-0.0003331545740365982,-0.05754130333662033,0.0017260578460991383,-0.00010631978511810303,0.006632797420024872,0.5856826305389404,0.061209022998809814,0.7589892148971558,547.7671508789062,47.980934143066406,76.98463439941406,124.96556854248047,160.04408264160156,0.04325590655207634,0.04325590655207634,0.04325590655207634,0.0
-0.12694832682609558,41.81999969482422,1000.0,3.0,1.3861210346221924,0.022031165659427643,22.0,0.9981679320335388,0.9981679320335388,0.9981679320335388,0.021928077563643456,0.00029399999766610563,0.9678394794464111,80000.0,-0.02132783830165863,-0.002164982259273529,0.42152687907218933,0.001575289643369615,-0.00015076820272952318,-0.0037412524688988924,1.0690319538116455,0.4833493232727051,1.3205897808074951,685.5067138671875,47.66666030883789,90.03541564941406,137.7020721435547,145.2410888671875,0.062474776059389114,0.062474776059389114,0.062474776059389114,0.0
0.33053141832351685,60.7599983215332,1000.0,4.0,1.3687604665756226,0.020357411354780197,19.0,0.9983324408531189,0.9983324408531189,0.9983324408531189,0.021434932947158813,0.0002924999862443656,0.9513717293739319,100000.0,-0.02051699534058571,0.0008108429610729218,-0.37808018922805786,0.0014385349350050092,-0.0001367547083646059,0.013679406605660915,1.3407914638519287,0.2717595100402832,1.8032602071762085,811.4650268554688,48.78316879272461,77.13426208496094,125.91742706298828,158.83424377441406,0.08674585074186325,0.08674585074186325,0.08674585074186325,0.0
0.6560914516448975,49.060001373291016,1000.0,5.0,1.3598321676254272,0.021131297573447227,13.0,0.9983839392662048,0.9983839392662048,0.9983839392662048,0.019749203696846962,0.000291000003926456,0.9429757595062256,120000.0,-0.014558973722159863,0.005958021618425846,0.4318560063838959,0.0020128388423472643,0.0005743039073422551,0.031447626650333405,1.2325704097747803,-0.10822105407714844,1.696352481842041,911.5057983398438,46.01776885986328,53.98599624633789,100.00376892089844,199.99246215820312,0.11410483717918396,0.11410483717918396,0.11410483717918396,0.0
0.7373547554016113,35.560001373291016,1000.0,6.0,1.344781756401062,0.021228766068816185,33.0,0.9981688261032104,0.9981688261032104,0.9981688261032104,0.02032926306128502,0.0002894999925047159,0.9288846254348755,140000.0,-0.021797118708491325,-0.007238144986331463,-0.08850225806236267,0.0017663377802819014,-0.00024650106206536293,0.041857246309518814,0.6566659212112427,-0.5759044885635376,2.2609171867370605,1097.9227294921875,46.774635314941406,139.6112060546875,186.38584899902344,107.30429077148438,0.1413331776857376,0.1413331776857376,0.1413331776857376,0.0
0.6697754859924316,47.41999816894531,1000.0,7.0,1.3305819034576416,0.020013045519590378,19.0,0.9975841045379639,0.9975841045379639,0.9975841045379639,0.0204042699187994,0.0002880000101868063,0.9157518148422241,160000.0,-0.018825756385922432,0.0029713623225688934,-0.006293497979640961,0.0030005585867911577,0.0012342208065092564,0.05857430398464203,1.1560767889022827,0.49941086769104004,2.1510939598083496,1227.59130859375,51.31908416748047,78.31375122070312,129.63284301757812,154.28189086914062,0.1704423576593399,0.1704423576593399,0.1704423576593399,0.0
0.7303062677383423,62.36000061035156,1000.0,8.0,1.3214855194091797,0.020304618403315544,20.0,0.9978393912315369,0.9978393912315369,0.9978393912315369,0.0208944883197546,0.00028649999876506627,0.907334566116333,180000.0,-0.023617420345544815,-0.004791663959622383,0.1516135036945343,0.002297398168593645,-0.0007031604181975126,0.06430081278085709,1.5208873748779297,0.364810585975647,2.5033814907073975,1362.4814453125,49.53340530395508,85.31951141357422,134.85292053222656,148.3097381591797,0.2014158070087433,0.2014158070087433,0.2014158070087433,0.0
0.6170607805252075,58.279998779296875,1000.0,9.0,1.3096339702606201,0.02001120336353779,13.0,0.9978654384613037,0.9978654384613037,0.9978654384613037,0.020844493061304092,0.0002849999873433262,0.8966220617294312,200000.0,-0.02050727605819702,0.0031101442873477936,0.03540866822004318,0.0016468490939587355,-0.0006505490746349096,0.059160955250263214,0.987086832523346,-0.5338005423545837,3.387664794921875,1462.056396484375,44.39155960083008,55.14867401123047,99.54023742675781,200.9237823486328,0.233756422996521,0.233756422996521,0.233756422996521,0.0
